- moisture_reading: 114, time: 2024-11-28 23:30:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 113, time: 2024-11-28 23:30:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:31:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 94, time: 2024-11-28 23:31:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 97, time: 2024-11-28 23:32:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 97, time: 2024-11-28 23:32:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:33:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:33:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:34:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 97, time: 2024-11-28 23:34:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:35:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:35:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:36:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:36:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:37:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:37:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:38:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:38:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:39:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 97, time: 2024-11-28 23:39:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:40:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:40:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:41:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:41:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:42:07, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:42:37, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 98, time: 2024-11-28 23:43:07, water_status: Enough Water, watering_threshold: 130.
